common_name,audio_index,occur,realised_occur,observer_id,n,checklist_label,previous_checklists,min,max,diff,ratio,new_diff
Northern Shoveler,2.7355926913318775,0.021492813355869278,0.4510497529378178,new,86.05515832482124,medium,197,0.048696444087161006,0.031893786020987025,-0.01680265806617398,0.654951026072886,-0.345048973927114
Northern Shoveler,2.7355926913318775,0.021492813355869278,0.4510497529378178,new,86.05515832482124,high,2598,0.0502290624068649,0.03539777657159948,-0.014831285835265419,0.704727002166013,-0.29527299783398697
Orchard Oriole,6.262390744247775,0.061490798497643676,0.679948323363176,new,86.05515832482124,low,0,0.026544775911053555,0.023758268366894382,-0.002786507544159173,0.8950261417351487,-0.10497385826485128
Orchard Oriole,6.262390744247775,0.061490798497643676,0.679948323363176,new,86.05515832482124,medium,197,0.03459281477203545,0.031375971507675765,-0.003216843264359684,0.907008340155073,-0.09299165984492697
Orchard Oriole,6.262390744247775,0.061490798497643676,0.679948323363176,new,86.05515832482124,high,2598,0.037367279210051965,0.03467199224778375,-0.0026952869622682146,0.9278703984007707,-0.07212960159922932
Osprey,4.633207973653989,0.047619243241244516,0.6289709253913773,new,86.05515832482124,low,0,0.04062414613483047,0.033289715834638196,-0.007334430300192277,0.8194563825206443,-0.18054361747935566
Osprey,4.633207973653989,0.047619243241244516,0.6289709253913773,new,86.05515832482124,medium,197,0.04921308902176415,0.042765161874413454,-0.006447927147350693,0.8689794264997439,-0.1310205735002561
Osprey,4.633207973653989,0.047619243241244516,0.6289709253913773,new,86.05515832482124,high,2598,0.051581151416136575,0.046696276229991035,-0.00488487518614554,0.9052972829796629,-0.09470271702033706
Ovenbird,7.338095875588799,0.08252717313079723,0.8164966414179645,new,86.05515832482124,low,0,0.03677231730564607,0.035542260891144484,-0.001230056414501586,0.966549390829043,-0.03345060917095699
Ovenbird,7.338095875588799,0.08252717313079723,0.8164966414179645,new,86.05515832482124,medium,197,0.0494072679155904,0.045247871165573696,-0.004159396750016704,0.9158140709758976,-0.08418592902410238
Ovenbird,7.338095875588799,0.08252717313079723,0.8164966414179645,new,86.05515832482124,high,2598,0.05336606894664162,0.048993261165506376,-0.004372807781135246,0.9180601481906523,-0.08193985180934771
Pied-billed Grebe,4.889434572810841,0.04684682537128701,0.6612991022481244,new,86.05515832482124,low,0,0.04583532385634668,0.03515480468759126,-0.010680519168755419,0.7669806108007564,-0.2330193891992436
Pied-billed Grebe,4.889434572810841,0.04684682537128701,0.6612991022481244,new,86.05515832482124,medium,197,0.05580170508590214,0.04465046056452869,-0.011151244521373449,0.8001630146568636,-0.19983698534313643
Pied-billed Grebe,4.889434572810841,0.04684682537128701,0.6612991022481244,new,86.05515832482124,high,2598,0.05844566466223049,0.04844953257265178,-0.00999613208957871,0.8289670902478667,-0.17103290975213326
Pine Siskin,5.993990615880914,0.0038737985157548086,0.15789748697203398,new,86.05515832482124,low,0,0.006053138955750302,0.003365791822846887,-0.0026873471329034154,0.5560407331553961,-0.44395926684460385
Pine Siskin,5.993990615880914,0.0038737985157548086,0.15789748697203398,new,86.05515832482124,medium,197,0.006732790260780507,0.004859962673311355,-0.001872827587469152,0.7218348537635804,-0.27816514623641964
Pine Siskin,5.993990615880914,0.0038737985157548086,0.15789748697203398,new,86.05515832482124,high,2598,0.007052891300731566,0.005769488153113629,-0.0012834031476179368,0.8180316280381614,-0.18196837196183857
Pine Warbler,6.897393121000295,0.02749088556602835,0.5107541830269202,new,86.05515832482124,low,0,0.014999141172398617,0.012600555189648545,-0.0023985859827500722,0.8400851118620082,-0.15991488813799182
Pine Warbler,6.897393121000295,0.02749088556602835,0.5107541830269202,new,86.05515832482124,medium,197,0.01983265291898824,0.017966485550994254,-0.0018661673679939844,0.9059042995600819,-0.0940957004399181
Pine Warbler,6.897393121000295,0.02749088556602835,0.5107541830269202,new,86.05515832482124,high,2598,0.02206007605472884,0.020818864782751755,-0.0012412112719770857,0.9437349504644605,-0.05626504953553946
Red-breasted Merganser,2.3938912233278353,0.018205572137764425,0.4054107374163537,new,86.05515832482124,low,0,0.03532520915447564,0.017309607714892435,-0.018015601439583202,0.49000722512917777,-0.5099927748708222
Red-breasted Merganser,2.3938912233278353,0.018205572137764425,0.4054107374163537,new,86.05515832482124,medium,197,0.039499608461167436,0.022864495778161707,-0.01663511268300573,0.5788537321993984,-0.4211462678006016
Red-breasted Merganser,2.3938912233278353,0.018205572137764425,0.4054107374163537,new,86.05515832482124,high,2598,0.04059958905275029,0.025510740111575263,-0.015088848941175025,0.6283497125655542,-0.37165028743444584
Red-eyed Vireo,7.317294693204046,0.29622767692188523,0.9904295943202877,new,86.05515832482124,low,0,0.07766246005819395,0.09135169444783128,0.01368923438963733,1.1762657837439057,0.17626578374390567
Red-eyed Vireo,7.317294693204046,0.29622767692188523,0.9904295943202877,new,86.05515832482124,medium,197,0.10891841982189715,0.11711850084955962,0.008200081027662467,1.0752864487115328,0.07528644871153278
Red-eyed Vireo,7.317294693204046,0.29622767692188523,0.9904295943202877,new,86.05515832482124,high,2598,0.11934018948915892,0.12802766606314073,0.008687476573981806,1.07279590061964,0.07279590061963992
Red-headed Woodpecker,5.451362608735426,0.0433254816312538,0.553504081405373,new,86.05515832482124,low,0,0.028863557550090877,0.02317748457141736,-0.005686072978673518,0.8030016581010259,-0.19699834189897414
Red-headed Woodpecker,5.451362608735426,0.0433254816312538,0.553504081405373,new,86.05515832482124,medium,197,0.036693428442278665,0.03165767586864592,-0.005035752573632743,0.862761459274531,-0.13723854072546904
Red-headed Woodpecker,5.451362608735426,0.0433254816312538,0.553504081405373,new,86.05515832482124,high,2598,0.03968703518937945,0.03574005876426473,-0.003946976425114719,0.9005474607442846,-0.0994525392557154
Red-tailed Hawk,4.864488002845129,0.3201352618561223,0.9855169515572063,new,86.05515832482124,low,0,0.08572105911479178,0.07715492559252836,-0.008566133522263417,0.9000696723684639,-0.09993032763153609
Red-tailed Hawk,4.864488002845129,0.3201352618561223,0.9855169515572063,new,86.05515832482124,medium,197,0.10656304402688721,0.09462318490992287,-0.011939859116964338,0.8879549732649176,-0.11204502673508243
Red-tailed Hawk,4.864488002845129,0.3201352618561223,0.9855169515572063,new,86.05515832482124,high,2598,0.11249874328581655,0.10202206731289219,-0.010476675972924357,0.906872951048821,-0.09312704895117896
Red-winged Blackbird,5.672455801929754,0.6631874327880791,0.9999490770089718,new,86.05515832482124,low,0,0.3227724826990158,0.4131815338727553,0.09040905117373949,1.2801014833040945,0.28010148330409446
Red-winged Blackbird,5.672455801929754,0.6631874327880791,0.9999490770089718,new,86.05515832482124,medium,197,0.4650064028375188,0.5372257098492188,0.07221930701169998,1.1553081991366356,0.15530819913663563
Red-winged Blackbird,5.672455801929754,0.6631874327880791,0.9999490770089718,new,86.05515832482124,high,2598,0.5217392819835268,0.5909210650901041,0.0691817831065773,1.1325983791052974,0.13259837910529737
Redhead,3.0515710929009785,0.01842645238906308,0.43700559666944483,new,86.05515832482124,low,0,0.03338425919539759,0.01727234422835167,-0.016111914967045924,0.5173798863487395,-0.48262011365126045
Redhead,3.0515710929009785,0.01842645238906308,0.43700559666944483,new,86.05515832482124,medium,197,0.038199841206785774,0.022906635211243566,-0.015293205995542208,0.5996526291102607,-0.40034737088973926
Redhead,3.0515710929009785,0.01842645238906308,0.43700559666944483,new,86.05515832482124,high,2598,0.03961265748503236,0.025583765049001613,-0.014028892436030744,0.6458482382472935,-0.35415176175270646
Ring-billed Gull,4.816700467359714,0.14902662232535455,0.8655255387531368,new,86.05515832482124,low,0,0.11185113628608817,0.08552851612173872,-0.026322620164349456,0.764663810861764,-0.23533618913823595
Ring-billed Gull,4.816700467359714,0.14902662232535455,0.8655255387531368,new,86.05515832482124,medium,197,0.13388998530731516,0.10157205685171077,-0.0323179284556044,0.7586232578827635,-0.24137674211723648
Ring-billed Gull,4.816700467359714,0.14902662232535455,0.8655255387531368,new,86.05515832482124,high,2598,0.13817365401180753,0.10713499432587797,-0.03103865968592956,0.7753648486181225,-0.2246351513818775
Ring-necked Duck,3.64377101559253,0.033665585074119334,0.593155775515246,new,86.05515832482124,low,0,0.054137648032244814,0.03434934222577958,-0.019788305806465234,0.6344816125983316,-0.3655183874016684
Ring-necked Duck,3.64377101559253,0.033665585074119334,0.593155775515246,new,86.05515832482124,medium,197,0.06286844187019423,0.04334247187372419,-0.019525969996470043,0.6894153980022963,-0.31058460199770366
