common_name,checklist_labels,diff,ratio,new_diff
Bobolink,low,-0.006027932242013614,0.5802042859581178,-0.4197957140418822
Bobolink,high,-0.0037706429577693736,0.7623324653072059,-0.2376675346927941
Brown Creeper,low,-0.005522424025166905,0.7899821839780033,-0.21001781602199665
Brown Creeper,high,-0.004059815911453858,0.8272996839921363,-0.17270031600786373
Brown Thrasher,low,-8.835353459367284e-4,0.9738575147864779,-0.026142485213522137
Brown Thrasher,high,-0.006673191105495829,0.8543247790801323,-0.14567522091986773
Brown-headed Cowbird,low,-6.766456883691707e-4,0.9965956052138771,-0.0034043947861228663
Brown-headed Cowbird,high,0.04118816946071835,1.1629642635317576,0.16296426353175764
Bufflehead,low,-0.02606310900206143,0.5914050752222536,-0.4085949247777464
Bufflehead,high,-0.013917303770898663,0.7808568932156015,-0.21914310678439852
Canada Goose,low,0.010699994571344296,1.0324285033127214,0.0324285033127214
Canada Goose,high,0.016148197914763907,1.0390950292480403,0.039095029248040314
Canvasback,low,-0.008155632428980882,0.2947015442342862,-0.7052984557657138
Canvasback,high,-0.006303857062358677,0.46841864964121166,-0.5315813503587883
Cedar Waxwing,low,0.05020549022945278,1.5622600982501815,0.5622600982501815
Cedar Waxwing,high,0.013166448854153218,1.0958512056286662,0.09585120562866623
Chestnut-sided Warbler,low,-0.007853235240991194,0.6403240463944119,-0.35967595360558813
Chestnut-sided Warbler,high,-0.001764709729875899,0.9378471386879424,-0.06215286131205755
Chimney Swift,low,0.010865469156504722,1.2507382154460625,0.25073821544606245
Chimney Swift,high,-0.024654609735139818,0.7510249319692616,-0.24897506803073843
Chipping Sparrow,low,-5.598529204082631e-4,0.9947825344417122,-0.005217465558287837
Chipping Sparrow,high,0.0015807646986598645,1.0086047696911764,0.008604769691176406
Common Goldeneye,low,-0.011668960798052831,0.2691677056697895,-0.7308322943302106
Common Goldeneye,high,-0.007390942707388949,0.5490495897265233,-0.4509504102734767
Common Grackle,low,-0.012240427084339367,0.953676384888715,-0.04632361511128502
Common Grackle,high,-0.011129453309641268,0.9674441277324823,-0.03255587226751766
Common Loon,low,-0.010886580216175702,0.6167473261316926,-0.3832526738683074
Common Loon,high,-0.008806654092107211,0.7175051539669259,-0.28249484603307407
Common Merganser,low,-0.012387629152341574,0.565654608853416,-0.434345391146584
Common Merganser,high,-0.00868491909289805,0.714251092062451,-0.28574890793754903
Common Yellowthroat,low,0.05022228266288366,1.441943586824896,0.441943586824896
Common Yellowthroat,high,0.06065890702419535,1.308524954602434,0.308524954602434
Dark-eyed Junco,low,-0.04127698992890498,0.6423753180499806,-0.3576246819500194
Dark-eyed Junco,high,-0.002712783268305166,0.9738061213997109,-0.0261938786002891
Double-crested Cormorant,low,-0.021045842103567955,0.6514490271425191,-0.34855097285748093
Double-crested Cormorant,high,-0.01716836033293833,0.7591865239989145,-0.2408134760010855
Eastern Bluebird,low,-0.010954790343794915,0.9021781401493733,-0.09782185985062675
Eastern Bluebird,high,0.008776552215916333,1.0695593007004416,0.06955930070044158
Eastern Kingbird,low,0.033095517322168505,1.3852568324044856,0.3852568324044856
Eastern Kingbird,high,0.006617216799355868,1.0502182377429667,0.05021823774296674
Eastern Meadowlark,low,-0.010099901997153476,0.6925534792819241,-0.3074465207180759
Eastern Meadowlark,high,-0.005725042245754347,0.8646258227085238,-0.13537417729147616
Eastern Phoebe,low,0.007166577783127737,1.1108677810973708,0.11086778109737083
Eastern Phoebe,high,0.006148209957882456,1.0635099374829953,0.06350993748299527
Eastern Towhee,low,-6.307168623881781e-4,0.9895057792553051,-0.01049422074469486
Eastern Towhee,high,0.004197089689022285,1.0525465968953496,0.05254659689534957
Eastern Wood-Pewee,low,0.06184131145890091,1.9141914534286655,0.9141914534286655
Eastern Wood-Pewee,high,0.036123705989453775,1.2594145139271917,0.2594145139271917
European Starling,low,-0.02523978590384593,0.8568862444890711,-0.14311375551092886
European Starling,high,-0.026064535236374003,0.9010712235719467,-0.09892877642805331
Field Sparrow,low,0.007052663451426272,1.134463752340213,0.13446375234021302
Field Sparrow,high,0.0037977271147814073,1.0442220869883547,0.044222086988354725
Gadwall,low,-0.02031777655116969,0.3189006395664718,-0.6810993604335283
Gadwall,high,-0.017810874080098713,0.527449313287616,-0.472550686712384
Golden-crowned Kinglet,low,0.0066818958249698045,1.290722013870195,0.2907220138701949
Golden-crowned Kinglet,high,0.0015305684072355469,1.0748660734284248,0.07486607342842477
Gray Catbird,low,0.0632179390936731,1.3660909545440962,0.36609095454409624
Gray Catbird,high,0.04841119916842068,1.2027906979446956,0.20279069794469562
Great Blue Heron,low,0.02406657486681224,1.1873782576899,0.1873782576898999
Great Blue Heron,high,0.0015765779385752687,1.0095240842221986,0.009524084222198637
Great Crested Flycatcher,low,0.019787593713757587,1.3225391137578573,0.32253911375785727
Great Crested Flycatcher,high,0.01849738311522718,1.1480568059124068,0.14805680591240677
