species_code,audio,photo,video
lesroa1,0,6,0
lessca,2,8855,10
lesyel,170,14680,11
lewwoo,0,358,0
libher,0,3653,1
lifcan1,0,2,0
limpki,65,2325,7
limpki1,0,94,3
linspa,164,5847,17
litgul,0,2776,12
lobcur,1,273,4
lobdow,21,4403,13
loeowl,2,92,1
logshr,21,2276,10
longsp1,2,3,0
loon,0,60,0
lotduc,18,3323,1
lotjae,0,103,1
louwat,752,3500,9
lovebi1,0,3,0
lwfgoo,0,1,0
macwar,0,2,0
magfri,0,159,1
magshr1,0,4,0
magwar,368,14275,19
mallar2,0,1444,0
mallar3,158,29185,9
mallar4,0,2,0
manduc,0,69,0
margod,22,4138,12
martin1,0,10,0
marwre,794,4787,18
marwre3,31,57,0
masbob1,0,2,0
mdxmal1,0,19,0
meadow,14,190,0
meapip1,0,1,0
melduc1,0,3,0
mergan1,0,12,0
merlin,255,6059,7
merlin1,1,3,0
mewgul,0,17,0
mewgul2,0,107,0
miskit,7,1279,1
monpar,33,790,0
monpar1,4,19,0
motduc,2,297,0
moublu,0,663,0
moudov,249,12056,7
mouplo,0,2,0
mouqua,0,7,0
mouwar,1358,5983,5
musduc,0,7,0
musduc3,0,255,0
mutswa,20,9763,4
myrwar,71,3945,5
naswar,829,10849,15
naswar1,9,30,1
naswar2,0,4,0
neocor,0,3147,6
norbob,499,1504,3
norbob1,12,32,0
norcar,1462,17293,7
norcar1,39,65,1
norcas1,0,1,0
norfli,480,14133,11
norful,0,7,0
norgos,59,568,2
norhar2,21,5969,8
normoc,223,4874,5
norpar,700,10336,6
norpin,14,3964,5
norsho,14,9552,9
norshr3,0,10,0
norshr4,119,2413,0
norwat,966,7308,16
norwhe,0,7,0
nrwswa,111,8146,4
nrwswa1,0,10,0
nstspa,14,161,0
nstspa1,0,1,0
nswowl,218,653,2
nswowl1,1,2,0
nutman,0,1,0
olsfly,160,6505,42
oporor1,0,30,0
orabis1,0,5,0
orcori,683,13037,8
orcori2,10,63,0
orcwar,82,3732,0
orcwar1,2,49,0
orcwar5,0,8,0
orejun,2,1345,1
oriole,0,21,0
osprey,190,19274,13
osprey1,9,259,1
ostric3,0,2,0
ovenbi1,1041,6091,9
owl1,8,58,0
pacloo,0,608,1
pacpar2,0,1,0
pagplo,0,10,0
paibun,12,693,1
paired,9,178,0
palwar,187,15806,5
palwar3,32,1179,5
palwar4,0,70,2
parake,0,2,0
parjae,0,422,0
parrot,0,4,0
passer1,448,255,1
pecsan,29,8121,10
peflov,0,6,0
pelcor,0,4,0
pepfal1,0,9,0
perfal,42,7433,7
perfal1,5,31,0
pewee1,0,1,0
phalar,0,3,0
pheasa1,0,7,0
phivir,159,4061,3
pibgre,136,10647,12
pifgoo,0,159,0
pilwoo,390,9446,25
pingro,6,474,0
pingro6,0,7,0
pinsis,213,5383,8
pinsis1,0,16,0
pinsis3,0,33,0
pinwar,840,8102,6
pipplo,30,14184,14
pirang1,0,23,0
pisjun,0,88,0
plcsee1,0,1,0
plegad,0,349,1
plover2,0,2,0
plsvir,0,13,0
prafal,0,58,0
pramer1,1,96,0
prawar,360,3597,6
prowar,768,20428,25
psitta1,0,5,0
purfin,319,7848,2
purfin1,14,309,0
purgal2,0,663,0
purmar,370,10551,8
purmar1,2,8,2
pursan,0,16,0
pygnut,13,425,3
pyrrhu,0,1,0
rail1,4,2,0
rbbmag,0,7,0
rebmer,13,12488,13
rebnut,292,6036,7
rebwoo,491,13563,11
recwoo,1,8,0
redcro,457,1936,5
redcro1,16,0,0
redcro10,58,3,0
redcro11,0,1,0
redcro2,689,122,0
redcro3,133,24,0
redcro39,134,19,1
redcro4,317,69,0
redcro5,11,1,0
redegr,0,24,0
redhea,12,5966,2
redjun,1,1,0
redjun1,0,16,0
redkno,1,3282,2
redpha1,0,98,2
redpol1,0,232,0
reevir,0,1,0
reevir1,1431,8579,8
rehwoo,480,21217,17
relpar1,0,2,0
rengre,12,2938,16
renpha,1,4081,23
rensap,0,1,0
rensti,0,5,0
resfli,0,24,0
reshaw,461,4155,4
reshaw5,12,87,0
rethaw,259,20795,17
rethaw4,0,827,0
rethaw9,0,242,0
retloo,1,2226,13
rewbla,992,34954,38
rewbla1,101,1372,5
ribgul,216,18202,13
ricgoo1,1,132,0
rindov,0,8,0
rinduc,37,10158,6
rinphe1,139,3375,4
rinphe2,0,2,0
rinphe37,0,20,0
robgro,1028,23436,24
rocpig,0,2,0
rocpig1,21,2889,0
rocwre,33,355,4
rocwre1,1,2,0
rolhaw,0,3449,5
rorpar,0,12,0
rosgoo,3,4627,5
rosgul,0,1039,4
rosspo1,0,1648,5
roster,3,383,0
royter1,0,234,0
rthhum,96,17670,15
rtlhum,0,1,0
ruckin,367,10944,7
rudduc,1,6391,8
rudshe,0,72,0
rudtur,12,6656,15
ruff,0,2665,4
rufgro,60,1902,4
rufhum,0,215,1
rusbla,523,8095,12
rxyfli,1,12,0
sabgul,0,55,0
sagthr,16,254,1
sancra,601,30670,75
sancra1,0,19,0
sancra2,7,38,0
sander,8,7242,8
sapsuc,0,31,0
savspa,480,11886,14
savspa4,11,199,3
saypho,6,1055,1
scatan,1019,17137,11
scaup,0,737,0
scoori,0,7,0
scoter,0,6,0
scrcow1,0,1,0
sctfly,3,1512,5
sedwre1,1410,6035,28
semplo,48,8723,5
semsan,35,10490,14
shbdow,53,9120,13
shbdow1,0,54,0
shbdow2,2,334,2
sheowl,11,2356,7
sheowl2,0,91,0
shicow,2,64,0
shoreb1,47,550,0
shrike,0,3,0
shshaw,30,2495,3
shshaw2,2,100,0
shtgro,12,896,6
shtsan,0,232,0
silphe,0,3,0
slbcur,0,10,0
slbgul,0,220,0
slcjun,67,1032,0
smafal,0,4,0
smbela1,0,50,0
smilon,55,1321,6
snipe2,0,1,0
snobun,25,1137,0
snoegr,2,5276,15
snogoo,17,5174,11
snoowl1,1,3875,6
snoplo5,0,744,0
solsan,160,14860,5
solsan1,1,42,0
solsan2,0,1,0
solvir1,0,16,0
sonspa,1254,28664,9
sonspa2,52,357,0
sooter1,0,5,0
sora,497,7265,17
soulap1,24,586,0
soulap2,7,107,2
sparro1,82,309,0
spizel,0,17,0
spizel1,0,10,0
spodov,0,1,0
sposan,219,17051,20
spotow,9,302,1
spotow5,1,3,0
sprgro,14,1087,8
sprgro1,0,53,0
sprpip,0,7,0
sterna,0,23,0
stisan,3,6000,18
strept1,0,13,0
stumea1,0,5,0
sumtan,476,5803,4
sursco,1,1144,1
sutwar,0,7,0
swagoo1,0,1,0
swagoo2,0,59,0
swagoo3,0,15,0
swahaw,8,1512,4
swallo,3,226,0
swan1,1,147,0
swaspa,678,9089,13
swathr,432,8973,3
swathr2,9,242,1
swawar,26,508,1
swift1,0,1,0
swtkit,1,1476,0
sxrgoo1,0,204,3
taimer1,13,292,3
tdxsca1,0,14,0
teal,0,33,0
tenwar,1009,7459,4
tern1,2,94,0
thagul,1,711,2
thrush1,5,20,0
towhee1,0,5,0
towsol,17,558,1
towwar,10,377,1
treswa,236,26138,25
tribla,0,18,0
triher,0,1026,3
tringa1,0,13,0
trokin,1,54,0
truswa,301,25807,59
tufduc,0,914,2
tuftit,885,4626,11
tunswa,151,4998,3
tunswa1,4,69,0
tunswa2,0,7,0
tupfal1,0,6,0
turvul,6,11911,20
turvul2,0,7,0
tyrann1,0,4,0
uplsan,211,4384,20
varbun,0,170,1
varthr,1,310,0
veery,1014,7010,11
veggul1,0,7,0
verfly,1,324,0
vermiv1,0,2,0
vesspa,523,4910,23
vigswa,0,2,0
vireo1,17,81,0
virrai,804,6212,18
virwar,0,4,0
wantat1,0,27,0
warble,254,456,0
warvir,883,10385,4
waterf1,38,63,0
waxwin,0,8,0
wesgre,4,1011,1
weskin,17,2063,3
wesmea,746,2100,18
wessan,0,1037,1
westan,2,1061,0
wewpew,3,17,0
whbnut,366,9434,3
whbnut2,31,319,0
whcspa,194,9995,4
whcspa2,1,126,1
whcswi,0,1,0
whehum,0,10,0
whevir,936,3582,3
whevir1,1,35,0
whfibi,5,5081,13
whiegr1,0,8,0
whiibi,0,174,0
whimbr,23,3787,14
whimbr1,0,1,0
whimbr3,5,123,1
whimbr5,0,44,0
whiwag,0,57,0
whiwag2,0,19,0
whocra,7,1653,3
whoswa,0,140,0
whrsan,4,4348,14
whtkit,0,497,1
whtspa,542,11163,14
whwcro,145,2123,2
whwcro2,1,13,0
whwdov,15,1087,1
whwgul1,0,19,0
whwjun,0,3,0
whwpar,0,6,0
whwsco2,0,2765,2
whwter,0,679,0
wilfly,881,7045,52
wilfly1,1,10,0
willet1,60,6591,10
willet2,0,4,0
willet3,20,516,0
wilpha,9,9549,27
wilplo,0,196,1
wilpta,0,335,5
wilpta2,0,6,0
wilsni1,338,6910,8
wiltur,153,12312,19
wiltur1,0,1,0
wilwar2,0,17,0
wilwar3,1,1,0
winwre3,656,2590,1
wlswar,328,6205,15
woewar1,226,1431,6
woodpe1,12,23,0
wooduc,188,27799,11
woopew,0,20,0
woosto,0,926,5
woothr,1660,3933,5
wren1,3,38,0
wrthaw1,0,52,0
x00004,0,546,1
x00039,0,18,0
x00047,0,88,1
x00050,0,10,0
x00195,0,2,0
x00197,1,132,0
x00198,0,33,0
x00202,0,7,0
x00205,0,2,0
x00362,0,10,0
x00414,0,14,0
x00415,0,23,0
x00418,0,2,0
x00419,0,33,1
x00420,0,181,0
x00421,0,155,0
x00422,0,23,0
x00424,0,9,0
x00425,0,88,0
x00427,0,12,0
x00430,0,6,0
x00442,0,2,0
x00446,4,49,1
x00448,0,8,0
x00451,0,18,0
x00457,0,60,0
x00610,0,5,0
x00611,0,56,0
x00612,0,19,0
x00613,0,44,0
x00615,0,141,0
x00616,0,116,1
x00627,0,114,0
x00628,0,88,0
x00629,0,30,0
x00630,0,19,0
x00632,0,17,0
x00646,0,2,0
x00653,0,35,0
x00654,0,8,0
x00655,0,22,0
x00669,6,219,0
x00673,0,16,0
x00678,0,21,0
x00679,0,106,1
x00680,0,8,0
x00682,0,42,0
x00684,0,22,0
x00686,0,6,0
x00688,0,6,0
x00692,0,8,0
x00693,0,2,0
x00694,0,19,0
x00711,11,65,0
x00717,0,10,0
x00718,0,36,0
x00719,1,5,0
x00724,0,2,0
x00728,0,14,0
x00731,0,15,1
x00732,0,1,0
x00746,0,5,0
x00749,0,9,0
x00750,0,10,0
x00754,2,86,0
x00758,0,65,0
x00759,0,123,0
x00762,0,3,0
x00763,0,4,0
x00776,0,40,0
x00779,0,13,0
x00783,0,4,0
x00790,0,29,0
x00797,0,26,0
x00799,0,1,0
x00864,0,19,0
x00865,0,3,0
x00866,7,32,0
x00872,0,4,0
x00888,0,3,0
x00894,0,3,0
x00918,0,6,0
x00979,0,5,0
x01008,0,1,0
x01062,0,20,0
x01131,0,54,0
x01134,0,74,1
y00001,0,2,0
y00004,0,13,0
y00012,0,13,0
y00019,0,33,0
y00022,0,8,0
y00033,2,6,0
y00219,0,3,0
y00222,0,13,0
y00224,0,81,1
y00226,2,8,0
y00227,1,66,0
y00229,0,56,0
y00314,0,13,0
y00317,0,24,0
y00322,3,161,1
y00324,8,721,0
y00325,0,6,0
y00332,0,8,0
y00334,0,17,0
y00335,2,27,0
y00338,4,51,0
y00414,2,4,0
y00425,0,16,0
y00432,2,0,0
y00435,2,0,0
y00469,0,147,0
y00470,2,102,0
y00471,2,427,0
y00475,50,7889,11
y00476,3,369,0
y00478,0,1655,2
y00479,0,4,0
y00481,0,1,0
y00484,0,2,0
y00485,0,12,0
y00494,0,32,0
y00496,0,92,0
y00598,4,127,0
y00600,0,73,0
y00602,3,0,0
y00610,0,7,0
y00612,2,130,0
y00616,5,15,0
y00620,0,18,0
y00626,0,1,0
y00627,0,27,0
y00628,0,8,0
y00631,0,4,0
y00633,0,11,0
y00635,0,7,0
y00639,0,15,0
y00647,0,3,0
y00665,26,63,0
y00666,0,3,0
y00668,0,1,0
y00670,0,22,0
y00673,0,1,0
y00678,0,315,2
y00682,0,5,0
y00685,0,11,0
y00704,4,32,0
y00705,0,1,0
y00726,0,2,0
y00727,2,171,0
y00728,0,3,0
y00741,14,10,0
y00764,0,1,0
y00773,7,19,0
y00833,0,19,0
y00836,0,1,0
y00851,0,16,0
y00924,0,3,0
y00925,0,3,0
y00935,0,3,0
y00944,0,1,0
y01183,0,10,0
y01184,0,10,0
y01263,0,1,0
ycnher,4,3683,1
yebcha,940,4230,13
yebcha1,2,16,0
yebcuc,559,4326,3
yebfly,656,3740,22
yebloo,0,162,0
yebsap,358,10645,13
yecnih1,0,50,0
yehbla,155,9697,20
yelgul1,0,10,0
yelrai,290,61,2
yelrai1,1,5,0
yelwar,1006,26978,9
yelwar1,74,834,13
yerwar,276,19097,5
yerwar3,2,36,0
yesbla1,0,1,0
yesfli,109,2491,0
yetvir,842,5380,2
yetwar,561,4056,4
yetwar1,10,49,0
yetwar2,0,2,0
yetwow1,0,1,0
zebfin3,0,1,0
zonotr1,0,3,0
